,subject,two_back,no_back
72,72,1.3609120832974335,1.3646273511612028
73,73,1.3039461804877726,1.3569579336617021
74,74,1.3312059008548303,1.3659688745439313
75,75,1.3231826812795842,1.3081829921052535
76,76,1.3588874384968517,1.3315180180278736
77,77,1.6133852395256154,1.5265896649416408
78,78,1.3468551001412508,1.3772982216767236
79,79,1.334416228823105,1.3128937452676752
80,80,1.2687779350178838,1.2704494240351472
81,81,1.6135678017824109,1.6343760899984097
82,82,1.3466449668527787,1.3303626333678589
83,83,1.3567957455973123,1.332568271680182
84,84,1.2999351890483526,1.319004940609359
85,85,1.3448820315290997,1.3128966270951128
86,86,1.3518121704344859,1.3434666165678013
87,87,1.3382185237505069,1.314270978862676
88,88,1.2957035365360678,1.2785687405736086
89,89,1.2420459457576642,1.2620161852157104
90,90,1.3529422259703723,1.3160897233234146
91,91,1.3437546721092783,1.3260878101400555
92,92,1.351001266133172,1.3477417880990163
93,93,1.3490926430337973,1.3052420795092738
94,94,1.3404833765580078,1.313154665859416
95,95,1.3445847137121643,1.3456075127032159
96,96,1.315295166242523,1.3245619459546116
97,97,1.3528747938396788,1.3538993592326667
98,98,1.34372742115432,1.313220994902647
99,99,1.3240815685883012,1.323197236241909
100,100,1.3262298522236233,1.318650646515464
101,101,1.338480991238306,1.332666659376288
102,102,1.216597495282527,1.1869114878069804
103,103,1.3512106053954052,1.3350027638342987
104,104,1.3441552926657439,1.3560892966572504
105,105,1.3534864424408746,1.318666961950087
106,106,1.3376649408490773,1.3244033958070316
107,107,1.3331215598428687,1.2887638298931512
108,108,1.6792777468335314,1.6916295718480772
109,109,1.2760845770781943,1.2427565283113382
110,110,1.3099782360947925,1.216484521474661
111,111,1.3780531508905043,1.3578350923650384
112,112,1.372773749809988,1.3211451364182034
113,113,1.3865000797549023,1.3930672287839567
114,114,1.2263834663044022,1.3094708888618252
115,115,1.330363081235626,1.366239106574896
116,116,1.382435885448447,1.359285378412401
117,117,1.3481877238743474,1.3253302081022542
118,118,1.3476415409615246,1.363216741317575
119,119,1.3442345607904174,1.3720809749169751
120,120,1.3462260278603653,1.3398828425682827
121,121,1.420590407104156,1.3672618019616956
122,122,1.3607877145803156,1.3300129907743352
