Participant,Window,no_back,two_back
1,45,55.81808746843477,48.256622837790935
1,46,53.55009250018713,48.60583396101054
1,47,53.14052491652039,49.21944021777422
1,48,54.23467061235233,50.667732896290566
1,49,54.01637314722808,49.56507910699208
1,50,47.16845821438011,48.14235051864689
1,51,42.629415077246705,48.92383902962713
1,52,42.689959672398594,52.16416203566736
1,53,41.959806601027616,46.94716064417256
1,54,52.86271353045442,50.71927637681115
1,55,56.82709684383487,58.10939142211335
1,56,58.831327021776104,59.664146591577406
1,57,62.643190863682086,63.14242486643606
1,58,66.8230135424638,64.42501462090304
1,59,62.80695019683078,60.48567133465934
1,60,60.726926039476005,59.702559189481825
1,61,56.70704880783276,58.24308825857272
1,62,52.42726693195604,56.70428471271778
1,63,48.55608605164165,43.270292505443166
1,64,55.363052359260436,49.697259457982355
1,65,59.58401298032788,54.90253966993586
1,66,65.16378504760449,57.44632789816358
1,67,63.638601760460894,56.953907929395626
1,68,56.27136160069644,56.10486283502617
1,69,52.542603741878445,52.690623448709054
1,70,54.39666375288212,53.56736404771576
1,71,53.84202611552971,51.65294044004191
1,72,47.04852791112448,49.72123905318021
2,0,46.387751202668106,55.13379098837192
2,1,53.117417944869864,47.88498604512276
2,2,54.92184986155584,40.306125216949994
2,3,52.18159482867329,40.85729585369254
2,4,44.165855694731384,49.189052811772825
2,5,46.224458337854195,56.245917292688446
2,6,45.757217783372674,63.85149189849183
2,7,51.67530935469601,60.67366524832527
2,8,52.77304710290065,58.74918195723037
2,9,51.70622316073445,58.3856569462836
2,10,51.019738001480704,50.417514693257814
2,11,51.88172828468332,49.435214744550755
2,12,51.11497982792309,56.21278746942714
2,13,60.00394464399649,57.493865896789714
2,14,68.51115796012276,46.53694974698564
2,15,72.00015402689081,40.94413898090874
2,16,65.30432012018063,43.25600913108597
2,17,62.31823838248164,60.48588566454975
2,18,61.1115407371568,72.04592165341631
2,19,52.15157172804131,71.18881402259986
2,20,50.60417536484093,65.43199001624397
2,21,51.665668168736175,60.68604302564234
2,22,51.49506857617062,61.10339194530615
2,23,62.64797844447281,52.17688250973594
2,24,70.0599358917561,44.77400960729615
2,25,82.85153815989389,50.64597198839783
2,26,72.12574306969063,51.58559344215307
2,27,63.26542639713129,50.15185247599692
2,28,59.90535078050991,47.17544292174631
2,29,54.668826754406176,45.13112436971656
2,30,49.21657779079065,43.2917639631803
2,31,48.90814024090774,38.31103833321461
2,32,43.19081998407735,36.53631502160258
2,33,38.77097043616337,37.021157554015
