,subject,two_back,no_back
69,69,61.1264553417877,62.43452332759306
70,70,73.41161681821562,73.38947969031001
71,71,141.92537428301378,84.44810093026759
72,72,75.10545138310243,76.11434762302392
73,73,80.50842523468341,105.2870936119232
74,74,56.15116361851603,61.32515431329115
75,75,64.6650172813123,62.56170242558356
76,76,73.4244506929812,67.71417362874388
77,77,99.22941045624765,84.61109126528672
78,78,68.48439848227477,71.61018838685746
79,79,58.42615310247658,57.86223108807317
80,80,96.6129868085037,91.59717762781519
81,81,67.36056006382378,69.57703648625356
82,82,64.28356791090955,62.91982354820928
83,83,86.78151965260967,81.87984718103866
84,84,62.71989898355987,65.20931480466852
85,85,68.21400152358821,58.83987854719212
86,86,58.464375239268,53.406830153947105
87,87,78.48617602945346,77.09501558518497
88,88,77.2118577134453,75.57610458201808
89,89,74.56087265353827,75.30998566563316
90,90,64.11873515114617,62.49877133699097
91,91,76.99353791697031,67.81700016467407
92,92,79.17307359088284,76.14971911688244
93,93,61.648037387399114,53.82019715217808
94,94,77.64805516282757,67.13329979296718
95,95,53.742493068777065,55.16987432584318
96,96,74.82912830894637,76.15281817257049
97,97,64.4120454540217,60.56875560149527
98,98,78.09563965854748,66.73113661855831
99,99,69.55194412009449,66.83186142587553
100,100,66.23683113310918,67.89649616940524
101,101,74.46684335156787,76.14271348056981
102,102,102.85109972955141,100.04185149152578
103,103,57.8037127055946,56.10291054464078
104,104,60.01421599360881,57.87853468883476
105,105,88.90877829042756,74.09506123891015
106,106,68.76443198950928,65.47332840875416
107,107,90.57893114285116,72.8026194875562
108,108,55.705077135085254,55.37059645289372
109,109,104.921886691398,98.42840422661882
110,110,105.60593536771069,81.69313510956549
111,111,66.15513570127445,62.52635084206005
112,112,82.65803358030097,66.30150362508628
113,113,53.02897132373801,53.193188416666196
114,114,66.75498156536314,76.76312908845314
115,115,60.86885146792269,66.56688755925197
116,116,61.905819308157994,57.884893470205405
117,117,65.62513459163345,57.70963931502122
118,118,55.03999076882509,58.373134098615566
119,119,52.71592544111916,64.66448612769645
120,120,88.55088494452775,75.103469580982
121,121,128.20460252871325,113.32763512266935
122,122,60.15174340882962,55.63274444223785
123,123,122.06924687150715,116.04833158732983
124,124,81.52449167220595,83.47016777896486
125,125,84.91321620961459,92.32641997038048
126,126,71.83195090035984,73.37411276775127
127,127,98.64749022345082,107.16845888758886
128,128,67.01138955756032,69.4881297156049
129,129,86.06590259023538,87.96595495755305
130,130,108.21786262112026,97.53301043241383
131,131,149.84672692624045,168.27420374761607
132,132,69.03981078908868,65.59046455505232
133,133,92.82237849278937,94.77341008672023
134,134,54.173692919832405,57.508077093632956
135,135,67.47508304590079,76.54447765134809
136,136,90.76728447699323,71.52835698054798
137,137,87.19872837839355,75.31811054932338
138,138,53.93934020257919,50.481764637783016
139,139,61.91896147183674,63.02301844162635
140,140,94.05996426086652,76.390549687805
141,141,51.692093411413865,51.49541102333139
142,142,73.03981860709752,80.17303575325934
143,143,84.34881621509565,77.42793111427133
144,144,85.21685771584357,69.29824720685966
145,145,154.30820702247473,122.39771745251696
146,146,93.93354025808274,98.10816783939359
147,147,77.76506094318133,82.328857555542
148,148,68.58623195510711,74.66677152017397
149,149,78.8759151608402,66.66687113589806
150,150,71.10930592933731,61.00589096430558
151,151,66.51076208586743,64.99636036508812
152,152,69.66516979209464,71.30378663077789
153,153,82.4857558953457,76.0540062715893
154,154,72.41459174943327,84.23989250199685
155,155,45.56069307937731,42.23064185031051
156,156,76.62254142950704,72.05401840795658
157,157,71.84542831576191,72.58466983816453
158,158,71.92517029950339,67.96945372281756
159,159,58.36407869124119,61.229852449085044
160,160,62.01219179416774,61.46729576720317
161,161,67.0498398765998,56.50600832462992
162,162,79.05303639967424,77.0504575598226
163,163,76.91385417843252,69.02335752002843
164,164,69.04348034469423,72.76989148381983
165,165,88.90062276000275,81.83628179127587
166,166,78.57785273501372,81.30189883259268
167,167,100.29045935561,89.51843661647145
168,168,69.76483519544148,71.46237127565888
169,169,61.06656195200826,55.87585826846362
170,170,82.59967253404571,76.47048902040711
171,171,83.47606673464126,74.09740022671802
172,172,96.76501734472912,93.66093382483676
173,173,82.9062091869776,77.21599646503802
174,174,62.36036407423909,57.87815657897425
175,175,67.26793757863796,77.47334761993828
176,176,61.59609120883607,56.51635877254327
177,177,70.51931007341592,64.88898072249901
178,178,68.67767443163422,74.5422674367258
179,179,55.82609936480896,57.67460267466518
180,180,65.2269950119527,63.83472330504994
181,181,62.56150753847039,65.25937141114404
182,182,68.47361004250237,73.52241313871082
183,183,63.98336584437807,68.57957053462268
184,184,55.53713189166434,57.95898416003791
185,185,62.95427454419534,66.2375113717733
186,186,55.16376268366482,59.19154449892035
187,187,90.15719130134897,73.10138797829971
188,188,128.59260258263618,120.49799529600641
189,189,67.95697645565409,63.69884757372197
190,190,71.49246413813289,75.75207342218758
191,191,68.40030623580782,71.7536045310307
192,192,65.22663589115186,62.804325226247556
193,193,63.17824423557918,61.84392295026626
194,194,62.93459891264148,67.56004632618944
195,195,80.93794055093001,70.39689445769575
