Unnamed: 0,subject,condition,scale,mmse
5,7,no_back,5,0.032469500937729
6,7,no_back,6,0.0354217031005048
7,7,no_back,7,0.0374850724177246
0,8,two_back,0,0.0107945389793049
1,8,two_back,1,0.0137377372918914
2,8,two_back,2,0.0140465723761994
3,8,two_back,3,0.0156777565336196
4,8,two_back,4,0.016031686265159
5,8,two_back,5,0.0151655718879038
6,8,two_back,6,0.0180339981699931
7,8,two_back,7,0.015404391509654
0,8,no_back,0,0.0148901925980934
1,8,no_back,1,0.0188800872593116
2,8,no_back,2,0.0179890168191766
3,8,no_back,3,0.0197802202564922
4,8,no_back,4,0.0200024293829978
5,8,no_back,5,0.0191526095709361
6,8,no_back,6,0.016680365005014
7,8,no_back,7,0.0201604433131917
0,9,two_back,0,0.0015703323894578
1,9,two_back,1,0.0026592178753757
2,9,two_back,2,0.0066213835852737
3,9,two_back,3,0.0099510382675182
4,9,two_back,4,0.0119642211885372
5,9,two_back,5,0.0150477973289961
6,9,two_back,6,0.0165871789378647
7,9,two_back,7,0.0207040584284673
0,9,no_back,0,0.0018895372802106
1,9,no_back,1,0.0047702181732943
2,9,no_back,2,0.0108028578536238
3,9,no_back,3,0.0160008231136655
4,9,no_back,4,0.0223767338080718
5,9,no_back,5,0.0262360125323985
6,9,no_back,6,0.0313770845648401
7,9,no_back,7,0.036831831212063
0,10,two_back,0,0.0176123968486026
1,10,two_back,1,0.022268590799577
2,10,two_back,2,0.0268517630623383
3,10,two_back,3,0.0301965460083347
4,10,two_back,4,0.0276383106184643
5,10,two_back,5,0.0287016400410892
6,10,two_back,6,0.0239047672154202
7,10,two_back,7,0.0275134817297705
0,10,no_back,0,0.0121096186029366
1,10,no_back,1,0.0196255519136255
2,10,no_back,2,0.0250856050249442
3,10,no_back,3,0.0277388929922981
4,10,no_back,4,0.0290162118523612
5,10,no_back,5,0.0325236483297982
6,10,no_back,6,0.0335058067527125
7,10,no_back,7,0.0360910166481742
0,11,two_back,0,0.0116830623577726
1,11,two_back,1,0.0156360795328164
2,11,two_back,2,0.0175896147580388
3,11,two_back,3,0.0250273853256393
4,11,two_back,4,0.0260741703913376
5,11,two_back,5,0.0280913281182452
6,11,two_back,6,0.0206908386569678
7,11,two_back,7,0.0283215120578821
0,11,no_back,0,0.0037949865757564
1,11,no_back,1,0.0078563434318284
2,11,no_back,2,0.0072809491388442
3,11,no_back,3,0.0092385259231199
4,11,no_back,4,0.0135799781803428
5,11,no_back,5,0.014941690894077
6,11,no_back,6,0.0171644843708745
7,11,no_back,7,0.0182569979215485
0,12,two_back,0,0.0069932011351751
1,12,two_back,1,0.0064082578437869
2,12,two_back,2,0.0005411085088958
